_,Date,Feeling,今日のひとこと,感動・学び・気づき①,感動・学び・気づき②,感動・学び・気づき③
250331,2025/03/31,😊,省力化が終わってよかった〜,省力化印刷会社、申請完了。ここまで！,省力化補聴器、申請完了。ここまで！,もの補助印刷会社、試算表をもとに賃金simを作成。ここからは仲介会社の仕事。案件として確定してから再開する。
250401,2025/04/01,😣,自分と合う人、合わない人は明確にした方が良いよね…,もの補助印刷会社、やるのかよー。どう考えたってマイナスじゃん。補助金使わない方がプラスじゃん。経営者だと、考え方が違うのかなー。とりあえず、今日は給与の件を確定、骨子の完成を目指す。,もの補助はなぶさ、今日ヒアリングみたい。,
250402,2025/04/02,😊,子どもが本日より塾に。問題なく通ってくれそうだ。,もの補助印刷会社、骨子作成完了、追加ヒアリングをお客さんに投げた。現在は試算表を元に、数値計画を作成中。明日には完成させる。そして、一通り事業計画書を埋める。,もの補助プラスチック、情報待ち。,やはりアクションすると良い。
250403,2025/04/03,😌,CNPトレカ関連、イベントのボランティアに挙手。少しずつ理解を深めていこう。まずは開封しなければ。,もの補助印刷会社、数字計画は完成。一通り文章も作成。点数でいえば５０点くらい。まだまだな部分はあるけど、でも自分でゼロから文章を作るのと比べると圧倒的に効率的。明日は４くらいまでの見直しを完了させる。,もの補助プラスチック、情報なし,
250404,2025/04/04,😊,昨夜のゲームナイトの影響か、もしくは薬のせいか、眠い・・・,もの補助印刷会社、④までの清書完了。土曜日に⑧まで文章を作成。日曜日に添付ファイルを作る、この計画で行く。,もの補助プラスチック、月曜日まで動きなし。,CNPトレカ、やっと１BOX開封した。キラキラのカードが出るとテンション上がる。
250405,2025/04/05,😌,CNPトレカの開封ができなかった！,もの補助印刷会社、一通りは作ったけどまだまだ。今後ブラッシュアップ必要。あと追加ヒアリングの再依頼もしないと。,もの補助プラスチック、保留中,
250406,2025/04/06,😌,子供部屋がすっきりした。,もの補助印刷会社、いろいろ反映。特に計画数字面。そこは終わったので、別紙資料を明日仕上げる。スケジュールを書くのがちょっとめんどい。,もの補助プラスチック、進展なし。,道場関係、明日リマインドを送る。そういえば、そろそろマイクラカップ事務局と連携取った方が良いか。
250407,2025/04/07,😌,iPhoneを購入、設定をしないと。,もの補助印刷会社、今時点での仕上げはできた。一通り完成。とはいえ、お客からの回答待ち。回答に時間がかかると思って動いた方が良いけど、最速での対応だとも思うし・・,もの補助プラスチック、情報なし。社長は申請する気まんまん。ただし相みつが取れるかどうかというところ。遅くとも金曜日くらいまでには情報をそろえたいと思う。,道場関連、やばいやってない。明日はまず道場関連の対応をやらねば。リマインドメール、市役所へ行く、メンターにアナウンス、年間報告をまとめる。
250408,2025/04/08,😌,思ったよりもできないことが多い。家事はほんと大変・・・,もの補助印刷会社、特に進展はないかな。追加ヒアリングの結果待ち。それがきたらすぐ対応して、審査もろもろに出す,もの補助プラスチック、やることで決定。10日にヒアリングがあって、次の土日はこの案件でつぶれるかな,道場関係、リマインドメールは送ったけど、それくらい。明日市役所に行くのと、年間の報告書を作るのと、みんなのカフェへ連絡するのをやる。
250409,2025/04/09,😊,デスク周りの整理片付けをした。QOLあがりまくり。あとは、PCスタンドと、マイクスタンドを設置して、トラックボールマウスが届いたら一旦の完成！,もの補助印刷会社、回答なし。無いならないで平穏なんだけど、あとでどさっと回答来るとしんどい。早く終わりにしたい。明日にはたぶん回答が揃うから、明後日の金曜日勝負だな。,もの補助プラスチック、あすヒアリングとのこと。情報をまつ。,ドウジョウ関係、あとは年間の報告書作成くらい。明日これをやる！
250410,2025/04/10,😌,CNPトレカを４BOＸ開封したが、パラレルは出ず！残念。。。,もの補助印刷会社、前日回答来ていたものを反映した。あとは賃金関連の回答が揃ったら、最終の仕上げができる。仕上げることができたら、そのまま審査担当に渡す。,もの補助プラスチック、ヒアリングが終わったということで、明日の内容を教えてもらう。可能なら明日中にClaudeのプロジェクト作成から一回出力してみるところまで行いたい。,ドウジョウ関連、明日年間報告書を作る。
250411,2025/04/11,😊,CNPトレカ、できなかった！まずは１カートン開封するところから。,もの補助印刷会社、クライアントから回答が届いて、仕上げた。審査にも回したから、次のステップは審査後の修正。それが終われば、クライアントチェック。,もの補助プラスチック、ヒアリング詳細が分かった。次のステップはClaudeのプロジェクトを整えること。これを土曜。あと決算書が届いたら、最優先で賃金計画を作ること。これは月曜かな。,ドウジョウ、年間報告書作成まで完了。ひとまずの宿題は完了。
250412,2025/04/12,😊,今日はしっかりとAIについて学ぶ時間が作れた良かった！,もの補助印刷会社、現在審査街中。それが終わり次第、修正反映する。ただし、文字数制限がさらに厳しくなるということで、ここは情報待ち。待つのみ！,もの補助プラスチック、Claudeでプロジェクトを作成し、１回事業計画書を作ってみた。そのうえで、追加ヒアリングが必要そうな箇所もピックアップし、先方に質問として投げた。回答待ち。,FirebaseStudioを体験してみた。これは楽しい。時間が溶ける。テトリスを作ったが、３０分くらいで作成できた。ドウジョウで紹介しようかと思う。とはいえ、ワークスペースが３つまでということで、ちょっと課金しても良いかと思った。
250413,2025/04/13,😊,今週は火曜日に出社すると考えると、気が重たくなる・・・,もの補助印刷会社、審査待ち。文字数が超えているので、審査結果の反映を行う際に、一緒に文字数削減する。それが終わり次第、クライアントチェックに回す。,もの補助プラスチック、追加ヒアリングの項目をまとめて確認中。あと、社内の写真ももう少し要求したい。待ち案件としては他に決算書。決算書が届き次第、給与支給総額の確認をする。,CNPトレカ、１カートン分は開封完了。２カートン目はまたいずれ。１カートン目の横スリーブ入れが終わったら、デッキ組んでみようかな。
250414,2025/04/14,😣,トラウマは克服せず逃げるが勝ちだな。,もの補助印刷会社、前回の省力化のことがあるから、なんかちょっと心がざわついた。完全にトラウマになってる。絶対に次回は仕事を受けない。,もの補助プラスチック、５までの清書は完了。とはいえ、設備のカタログもないし、決算書も無いしで、届き次第大幅な修正が必要だけれども。,
250415,2025/04/15,😊,誕生日でした。,もの補助印刷会社、審査結果の反映完了。また文字数の圧縮も完了。Claudeによるチェックも完了。残りは最賃の記載のみ。１年目〜３年目の計画の立案方法は分かったので、あとは基準年度の最賃を聞くだけ。,もの補助プラスチック、事業計画書は一通り作成した。設備の情報がたぶん間違っているため、そこを修正必要だが。あとは追加ヒアリング結果が返ってくるのを待つばかり。,久しぶりに会社へ行ったが、違和感はそんなに無かった。次は来週の火曜日に行く。
250416,2025/04/16,😌,テンションがあまり上がらなかった。今日はなんでかは分からなかった。,もの補助印刷会社、最賃の回答が来て仕上げて完了。企業さんに確認依頼中。どんな指摘が来るのか怖い。本当は常に質問をし続ければいいんだろうけど、それもできない関係性。もう二度と受けたくない。,もの補助プラスチック、上の案件に引っ張られてる。とりあえず給与の上げ幅についてはお客さんの確認待ち。追加ヒアリングの結果が返ってきてるから、明日はそれを反映することと、売上計画を考えることをやる。給与の件は仮置きする。,
250417,2025/04/17,😌,娘と息子の部屋の家具を作る。重労働だったけど、いい気分転換になったなー。,もの補助印刷会社、先方の確認期限は明日。どう返ってくるのか怖い恐怖いやだ。,もの補助プラスチック、一通り完成、給与の件は回答無いので仮置きで収支計画も作成。その内容で事業計画書も作成。明日は補助資料を作りつつ、上の印刷会社の回答を待つ。,
250418,2025/04/18,😌,AI関連のサブスク、どうしよかなーって考えてる。いまのところはFeloとGeminiとClaude。もの補助終わったら、Geminiを使い倒してみる。Feloは補助金やるならあってもいいサービス。,もの補助印刷会社、いけないなーと思いつつ、どんな指示が来ても、いらっとしてしまう。あと１週間のお付き合い。それを超えたら解放される。,もの補助プラスチック、現時点である情報では仕上げてお客様に提出中。たぶん仲介コンサルのチェックも週末には終わるだろうから、それを修正して。あとは写真を求めているのでそれをもらって貼り付け、あとは給与支給の件の回答を貰えたらそれを反映する。,
250419,2025/04/19,😌,ラグナロクオンライン、複数アカを同時に実行中。楽しいけど、これは楽しいのか、その仕組を触ってるのが楽しいのか。,もの補助印刷会社、連絡はなし。月曜日に来て慌てるパターンかな。いやだな、憂鬱だな。,もの補助プラスチック、こちらもチェックまち。あと写真と給与の件も情報待ち。,GeminiというかGoogle Advanceに課金開始。早速Deep Researchをつかってみたが、レポートがすごすぎる。いままでの補助金でやってたリサーチを使ってみるか。
250420,2025/04/20,😌,鎧カードスリーブ、聞いた通りカードが５枚入った。保管はこの形だなー。,もの補助印刷会社、クライアントからの返信なく。「問題なし」の回答が欲しい。,もの補助プラスチック、音沙汰なし,GeminiはGoogleWorkspace経由で使うのが機密上安全そう。じゃあ、ということでGeminiやFeloを使ってAdvanceとWorkspaceで何が違うか調べる必要あり。
250421,2025/04/21,😌,ラグナロクランドバース、３アカウントを並行してプレイできるところまで、VIPシステムをどうするかなー。せっかくだしやってみるか、経験経験。,もの補助印刷会社、システムへの入力まで進んでいる模様、補助事業の売上高が未入力なので、明日そこを修正して申請するんだろうか。そもそも事業計画書に対して、問題が有ったのか無かったのか不明。それくらい連絡をしてほしいと思うが、そういう申し送りしていないこっちも悪いのか？,もの補助プラスチック、連絡なし。明日が本番かな。,ー
250422,2025/04/22,😊,ラグナロクランドバース、転職まであと少し。,もの補助印刷会社、明日最終申請。なにも言われないといいな。あと付き合うのも１日のみとしたい。,もの補助プラスチック、写真が届けば完成する見込み。,
250423,2025/04/23,😌,あと２日でGW。その前にもの補助の〆・・・,もの補助印刷会社、結局どうなったのか。早く連絡欲しい。,もの補助プラスチック、25日昼には申請予定。待ち。,Gemini、GoogleWorkSpaceとの接続は完了。Googleドライブのデータも見れてはいそう。ただし思ったようにできない。ドライブに置いてるテキストの中身を見たり見なかったり。このあたりは誰か先生になってほしい。
250424,2025/04/24,😊,あと１日！,もの補助プラスチック、明日お昼には終わる予定。これが終われば今回のもの補助終了。明日のやることとしては、次の補助金の公募要領を調べること。,GeminiのGoogleドライブ接続について色々実験。ドライブでは網羅的に全てのファイルを参照するのではなく、Googleって感じで検索をしている模様。その検索では30件が限界のため、100件のファイルがあったとしても全ては閲覧できない。なので、検索してヒットした30件の情報で対応するか、ファイルを統合する必要がある。音声配信の原稿づくりのGemを明日つくる。,ChatGPTに再課金。イラスト生成を楽しんでるけど、かなり精度上がった気がする。明日もまた勉強する。ただ、いろんなサービスの切り分けが必要だなと思う。
250425,2025/04/25,😊,ゲームばかりやってしまった〜。そして今日は最終日だった。明日からGW。,もの補助19次終了。次の補助金に向けての調査ができなかったので、明日行う。,,
250426,2025/04/26,😊,ドウジョウは無事に終了。ただマイクラができないときはRobloxを進めるのが導線としてはよさそう。,補助金のことは何も調べず。ただ４つくらいの補助金が同時にいま走っている。積極的に声をかけていこう。稼ぎ時だ。," Veo 2の動画生成はすごい。テキスト指示でアニメができてしまった。このままやれば３分アニメくらいできてしまいそう。。どうやら個人のＧｅｍｉｎｉadvanceにはVeo2がモードとして追加されている模様。早くGoogle workspace側にも実装してほしい。",明日はAI関連の勉強。過去セミナーの動画視聴して、あとはChatGPTのタスクっていうのを使ってみる
250427,2025/04/27,😊,特になにもないはずなのにモチベ上がらず・・・ROのせいな気もする。,補助金関連の次の案件に向けて調査を開始。ただ実際にやるって決まらないと本腰は入れられないな。こういうのが公募始まってるっていう感じにとどめておいて、案件が決まったら本格的に調査開始しよう。,chatGPTのGPTsを触っている。人に配布するにはGPTsはやっぱりいいね。自分で考えようって思うとアイディアがないため、まずは人の真似でいいから作ってみる。明日１つ作ってみる。,CNPトレカ、１人デュエルをやってみた。意外にも楽しかった。あとどれくらい１人でやれば、オンライン対戦できるかな。
250428,2025/04/28,😊,明日は仮想通過関連や副業の会計ソフトへの入力をやらなくては。,ChatGPT、GPTsを２つ作ってみた。AIラボのセミナー動画を見ながら１つ、そして、それを参考に自分でも１つ。Google AI Studio でプロンプトを作り⇨ChatGPTでGPTs化、この流れでいく。Google AI Studio じゃなくてGeminiでもいいが、使えるサービスは複数あると良いと思うから、この流れ。Google AI Studioは他にVeo2でも動画生成をやっていきたい。,Geminiは本日はやれず。早めに音声配信原稿の作成をGeminiに移行したい。なので明日はUdemyのGemini講座を勉強しよう。,
250429,2025/04/29,😊,比較的おだやかな１日だったな。積み案件を解消出来たのはいい。,法人の決算処理、代表から問い合わせがあって、それを整理しながらChatGPTに相談しながら解決した。こういう使い方も良いなーって思った。適当な感じで情報をポンポンと入れていってもちゃんと整理してくれるので良い。,,
250430,2025/04/30,😆,トレカ楽しい！,CNPトレカ試遊会に参加！大阪までやってきた。家族を置いてっていう罪悪感はありつつも楽しんだ。ゲームのルールも覚えることができたので、これからまずはオンライン対戦を楽しみたいな。,,
250501,2025/05/01,😊,大阪旅終了。また１週間後に東京へGO,万博へGO。あんまり期待もしていなかったし、ちょっと敬遠してたけど、行ったらすごく良かった。流行ってるところは避けたい心理は働くけど、やっぱりいいね。,,
250502,2025/05/02,😊,今日もだらだらした・・・,主に確定申告準備を進めた。個人の事業については、仕分けの方法をAIにサポートしてもらった。適切な回答で助かった。,仮装通貨の仕分けについては、AIに聞いているところ。GPTSとGASを使うのが良さそうだけど、もうちょっと聞いてみるかな。,
00*,,,,,,
250503,2025/05/03,😊,という感じで好きのパワーに触れた１日だった。,好きのパワーってすごいなって思った。トレカはデッキを組み直すと当然スリーブはばらばらになる。で、スリーブを組み替える必要があるけど、それはそれで結構めんどい。と思ったけど、ポケカ玄人の次男は、それが苦にならないとのこと。好きとか、それがルーチンのように身についてるってすごいパワーだなと感じた。,上の好きに関わるけど、ゲームも好きな人は本当にすごいって思う。私はにわかゲーマー。流行ってるから遊んでみるか、経験として遊ぶかって感じだけど、好きな人はそのゲームに掛ける熱意がすごい。いろんなことを知ってる。そこまでは好きになれるものがあるのはちょっとうらやましい。,
250504,2025/05/04,😣,実家から両親が来訪。孫たちに会えたことがうれしかったようだ。次はお盆かな。こちらから尋ねることにしようと思う。,AI関連の勉強ができなかった。ただ、HeyGenで動画を作ろうとして、課金が必要だったのであきらめた、という成果は残った。どれに課金するかは悩ましいが、動画生成系はいまのところは不要である。,,
250505,2025/05/05,😌,明日は頑張る！,いやー、勉強できなかったなー。でもCNPトレカの勉強はできた。優勝者デッキを組んで、それを子どもとプレイして。でもどうしても接待になってしまうな。ルールを知っているからこそ、勝ち筋が見えてしまうことで、簡単に勝てそうで。同じくらいのレベルか、自分より強い人とプレイしたいね。,,
250506,2025/05/06,😊,明日から仕事だー。,Geminiで音声配信原稿を作るGemを生成。ずっとGoogleドライブやドキュメントの接続に悩んでいたが、直接ファイルを読み込ませることができるようになったため、この悩みが解決。大本のドキュメントが更新され、それがちゃんと反映されるか（実体の添付になっていないか）はこれから検証。,chatGPTのGPTs作成。朝の記念日挨拶ポスト作成のGPTsを作った。Google AI Studioでプロンプトを作ってGPTsという流れ、これをマスターしたい。明日も１つ何か作る。,NotebookLMによる音声概要作成を体験。海外のYoutube動画を読み込ませてボタン１つで解説音声ができてしまった。すごすぎる。。
250507,2025/05/07,😌,仕事始まったけど、モチベーションは上がらない。なんでだろうな。,音声配信原稿づくりのGem、知識に加えたGoogleドキュメントは必ずしも全文検索をしているわけではない。たしかにAIは検索とは異なり、その傾向を掴むもの、といえば納得。なので絶対の回答は期待せず、傾向を掴む、という使い方が良いと思った。,chatGPTのタスク、やはり１つしか設定できず。謎だがスケジューリングしたとおりに通知が来ているので良しとする。明日はAI関連のニュースを届けてもらう。,ウィンドサーフ使ってみたけど、もう少し使わないと分からない。そのツール内で実行できなかったので、環境構築はハードル高いかも。Firebaseの方が私は使いやすいかな。
250508,2025/05/08,😌,色々とタスクが消化できた,chatGPTタスク機能にてAI関連のニュースが朝に飛んだ。これはいいね。でもやっぱり１件しか登録できないから、どこかで解消されるかな。苦肉の策として、１つのタスクでAIニュースとWeb3ゲーム関連の２つの情報を通知するように変更した。,chatGPTでイラスト生成って、やっぱりあの雰囲気のイラストになるね。どっちが好きかっていうとStableDifusionの自由度の高さが好ましいかなー。なので、明日はSDのプロンプトを作ってくれるGPTｓを作ろうかな。,Windsurfにターミナルがあることを発見。これで１つのサービス内で実行確認までできる。とはいえ、firebaseのようにUIが提供されるわけではないから、どこまで使うか。。AIサービスへのAPIが使えるなら、多少は良いんだけど。
250509,2025/05/09,😆,遊び遊びの週末だなぁ。,CNPトレカのイベントのために東京へ。まさか自分がトレカで外遊するとは…この日は有志で集まってカード対戦会。分からないところも教えてもらえて良かった✨,ラグナロクオンライン、武器強化に初チャレンジ。95%の確率で失敗するとは。でも仕組みが分かったー。,
250510,2025/05/10,😆,愛知に帰宅〜。今日くらいは早く寝るか。,トレカイベントに行ってきた。謎解き難しいな。慣れっていうのもあるのかねー。頭が硬い硬い😅,トレカイベント、まだ発売したばかりという事で、みんな初心者。だから、私でも教えるっていう立場になったりした。スタートダッシュしてるって思えばいいかなー。,スタッフとして参加すると、知り合いが増える。人付き合いが得意ではないから、こういうイベントはスタッフで参加するに限る。次はにんケット！
250511,2025/05/11,😣,会社の部署名、20文字越えはさすがにないやろーー。,何もしない１日だった。保険関係の書類を書いたり、片づけをしたり。楽しみにしてたトレカイベントが終わった反動か。子供か。,パジさんの投稿に着目。Geminiでアニメーション作れるのか。要検証。それにしても情報感度が高い人は舞台を変えても動きが速いな。さすがに真似するの無理だなー。,
250512,2025/05/12,😌,今日のあまりタスクは消化できず。。。本業に対するモチベーションが下がっている・昇給も無かったしね。,動画生成AI、やっぱり難しいなー。KlingAIとRunwayを試したけど、難しいな。次はGoogle AI Studioを試してみて、それで最後かな～。でもGoogle AI Studioは女性の画像をアップロードできなかった記憶が・・,一社の役員更新を忘れてた。調べておかないとー。,
250513,2025/05/13,😣,本日は副業でモチベーションを下げた１日だった。,あー、一社のことを頑張るかーって思ってた矢先、役員の更新登記が必要なことを知る。しかも本来なら去年？さてさてどうなることやら。,お金の出し渋りは、本当に駄目だと思う。正しいとは思うが、その制度を利用するとただで人が雇える、という感覚は危険のような気がするんだよね。お金の切れ目は縁の切れ目とはよく言ったものだな。,AI関連、カプセル人形の動画、Google AI Studioでも出来なかった。諦めるかー。
250514,2025/05/14,😌,久しぶりに出社、朝行くのもいいね,お金が無いということは、関係性も悪くなるなっていうのを感じている。１つは学校研修。お金を使わなくてもいい方法を提案されたこと。正しく仕組みを使っていると思うけど、お金払わなくてラッキーっていう感じが出てて嫌。２つ目、市役所の高校生インターンはお金が無くてやらないとのこと。予算削減かな。それは本当に市役所にとって良いことなのだろうか。その高校生インターンで役場の人、若い人は得られるものがなかっただろうか。得られるような取り組み方をしていなかったのだろうか。うーん、考えさせられたな。,一社、役員更新の件は代表にて。手伝えることとといったら会計関連かな～。,
250515,2025/05/15,😭,あー、メイプルに尽きる,メイプルが日本から遊べないっていうのに尽きる一日。ショック。VPN接続するほどではないなーと思いつつ、テストプレイにも参加したしやりたい気持ちが大きい。どうしようかな。週末待って、月曜日でも解消されて内容ならVPNかな。,,
250516,2025/05/16,😌,メイプルストーリーはまだできず。ROLGとPlanetAtmosを楽しむかー。,来週の出張講座、準備をスタートした。機材は先方のものを使うため、テキストを印刷して持っていけばできるはず。ただ下水道科学館のときのものは時間がかかりすぎるので、もう少し削ぎ落としたものにする、もしくは２回に分けてやれるようにする。,,
250517,2025/05/17,😌,ゲーミングPCをどうしようかとAIに相談。１代目をバージョンアップしようと思う！,AIにどのポジションを取っていくか相談。なんとなく分かってはいたけど、AIコーディングやワークフロー、AIエージェントが良さそう。誰かに背中を押してもらえるのは良い。まずは軽い発信からやっていこうかな。こういうツールがあって、こんな感じで簡単にできちゃった、みたいな。,DifyのUdemy講座勉強中。まずはこれがいいんじゃないかってAIおすすめ。ただGeminiモデルが動かない。GCPとかまで探ってたけど分からず。結局のところ、Difyプラグインのバージョンの問題だっただけで、そこを変えたら解決。あの３時間位を返して欲しい。今日はDifyの勉強＋終わったというポストまでやる。,来週の出張ドウジョウ、徐々に形作っている。経験者と初心者という感じなので、２チームに分けて楽しんでみようかと思う。
250518,2025/05/18,😌,ゲーミングPC１代目をどうするか検討中。まずはWin11へアップグレードして、各ゲームが動作するか確認だな。その後は、色々とデバイスを買ってグレードアップさせる！,そういえば補助金。まったく依頼がないな。どこからも依頼ないってことは珍しい。声くらいかかると思ったんだけどなー。積極的に取りには行きたくないし、というか営業かけたところも連絡ないし、また次のタイミングかな～。,DifyのUdemy講座を終了した。チャットボットが１つお試しでできた。昨日のGeminiモデルのバージョンの不備が解決してからはトラブルなし。本日はこれに関するポストもできた。明日はCNPトレカのQ&Aに対するチャットボットを作ってみようと思う。,出前講座については、参加予定者を把握したくらい。初心者からベテランまで含まれてそうで、１つのテキストをやるのだと対応しきれないかもな。なので、普段のドウジョウベースで考えたほうが良さそう。つまり、みんな自由ってこと。
250519,2025/05/19,😊,ゲーミングPCが復活できたのはよかった。いい一日だった,ゲーミングPCをサルベージして、グレードアップ予定。アップ前でもラグナロクオンライン×３、PlanetAtmos、OBSを同時起動しても問題なし。ノートPCだと、かなりうなっていたが、デスクトップPCはさすがに音が小さい。買おうと思ってたけど、買わなくてよかった。これからメモリとSSDを増設する予定。,AI関連の勉強はできず。ちょこっと、AIラボの質問に答えたくらいかな。,ミラトラ経由の依頼をやり取り。7月なので、まだまだ余裕。それよりも出張ドウジョウの準備をしなければ・・・
250520,2025/05/20,😣,明日こそはいろいろなタスクを消化する！,何もしない、っていう１日だった。本当に何もしないと。本業も午後不在にしたし、副業もボランティア活動も何もせず。そういう日があってもいいかなーっと。,でも何もしないと焦るよね。周りがどんどん進化していくのにと思う。,
250522,2025/05/22,😌,ゲームを少ししたっていうくらいの日かなー。,久しぶりに出社。１週間ぶりかな。対面で会議をしたけど、まあ普通という感じかな。雑談はあって良い、必須か、といわれると疑問はあるけど、あっても良いかなって感じ。,,
250523,2025/05/23,😌,PlanetAtmosのゲームナイト、これで最後かな。,出張ドウジョウの準備。は、翌日に回した。あまり時間をかけすぎてもなと思ったしモチベーションも上がらないし。そしてやっと連絡が来た。Messengerを観ない人なんだね。,,
250524,2025/05/24,😊,明日はトレカイベントー。,出張ドウジョウ、無事に終了。Scratchに限定したが、みんな問題なくやれてた。選択肢が多くないほうがいい場合もある。次回もScratchに絞ったほうがいいな。,,
250525,2025/05/25,😆,７月のトレカ地区予選に行きたいなー。,CNPトレカのイベントに参加してきました。対戦をしましたが、正直まったく勝てない。東京ドームのイベントでも大きく負け越してる。けど、負けてもさほど悔しくないのが不思議。負けず嫌いなのに。そう思うと、トレカを対戦しているっていうだけで満足できてるのかも！,補助金の連絡がまったくない。今シーズンはもう打ち止めか。やはり事業計画書作成だけの需要はないのかもねー。さて、そこで問題となってくるのはお金。これが問題だなー。,
250526,2025/05/26,😌,本業の鬱っぽさに引っ張られた１日だった,補助金、特に依頼なし,AI勉強、進まず・・,スタエフの収録は２日分完了。原稿はGeminiで作成。そこそこな出来だなと感じる。結局日本語が上手なのはClaudeなのか、Geminiなのか。。
250527,2025/05/27,😌,明日は打ち合わせ。冷静に対応する。,出社。でも出社すると、副業とかってやる時間なくなる。昔は早朝・深夜にやってたんだけどね〜。切羽詰まってないからっていうのはあるし、体力的にも精神的にもきついからね。そう思うと、リモートワークは副業をやるうえではかなり有効的な手段。,,
250528,2025/05/28,😊,有休が終わり、今日はまた仕事。頑張る！,出前授業の打ち合わせを行った。今回も社会人講話＆体験会。最近はアントレプレナーシップの教育が流行りらしい。中学生くらいから事業開発を体験できるのは非常にいいと思う。,DifyでCNPトレカのチャットボットを作成。無料プランだとあと１つアプリができる。昨日特典をもらったので、それを試したら終了かな～。,
250529,2025/05/29,😌,結局今日は何をしたんだろうか。。。,これを記入している時点では、AIに関する勉強はできておらず。ここからDifyの講座を受ける予定。Difyでアプリを作って、それをWebページとして実装できるっていう講座。,UDトークの使い方を色々と勉強。,上半期の流行語をchatGPT、Felo、Genspark、Geminiに考えてもらった。でもだいたい同じようなワードを拾ってた。まあ正しい結果だけど。
250530,2025/05/30,😌,ラノベをついつい読んでしまう！,やっとAIの勉強した。Difyとbubbleを接続するっていうもの。Difyでチャットボットではなくワークフローを使う。LLMの部分をもう少し工夫したいし、ワークフローってどう複雑化させるんだろうか。bubbleは、difyでページ組み込みができなかったら、使える、のかなー。,日曜のドウジョウは満席。土曜にリマインドではなく、教育版マインクラフトができないことを発信する予定。,
250531,2025/05/31,😊,ボランティアの準備終わった。明日はスタッフ1人だけど負けない！,Difyとbubbleの連携に続いて、bubbleのお勉強。でもこれをやった後で、本来の目的であるAIコーディングとかけ離れてる事に気づいた。これは目的と手段が一致してない証拠。しっかりと目的を持って学びたい。,昨日はそこそこポストした。どうせ見てる人も少ないので、何でもかんでもポストすれば良いよね。,
250601,2025/06/01,😊,ヴァイブコーディングお勉強１日目。このまま無理はせず、毎日１アプリ公開できたら良いな。,VibeCodingお勉強。ポモドーロタイマーを２つのプラットフォームで作成した。Google AI Studioはアプリが表示される場合と表示されない場合があって、動作が不安定な気がした。そしてデプロイも上手くできず、おそらくGoogle Cloudの設定が正しくできていないと思う。原因を追求したいがかなり時間が掛かるし、一旦諦めるか。,windsurfでの実装はうまくいった。とはいえ、やはり何回か往復は必要。ポモドーロタイマーのような簡単なアプリであっても、一発で生成はできない。それがわかっただけでも良かった。そしてデプロイ。windsurfのデプロイ機能は１日に１回？みたいで制限に引っかかった。ということで、ここからはGithubでデプロイ。Github pagesでページを作って公開することができた。,ドウジョウ本番。12名が参加。教育版マインクラフトがないと、Robloxが人気になる。このままRobloxを楽しむ子が増えると良いな。レポートまでかけたので、今回のやることは全部終了。
250602,2025/06/02,😌,ヴァイブコーディングを学びつつ、githubを介したサービス開発も学べるのは良いな。色んな知識を吸収していきたい。,Windsurf開発。Windsurfでソースを開発し、netfilyでデプロイするまでは良かった。公開して共有することもできた。ただ、その後Githubpagesでの公開をしようとして頓挫。もともと公開していたnetfilyのページも動作しなくなった。要因は各種サービスの特性を知らなかったこと。次はここを整理する。,上で躓いたためにやる気が一気にダウン。いかんいかん、１つのことで心が左右されやすい。そういうときは、ゲームとかアニメで回復させたい。,
250603,2025/06/03,😆,補助金フォーマットでトラブルあったのかな？こういう細かいところを人間の目でチェックするのは不可能だよね～～,ヴァイブコーディング学習、本日はLLM連携を学ぶ。昨日一通り触ったこともあり、アプリを作るところまでは問題なく実装できた。そしてそこからは昨日と少し異なる手順となった。昨日：デプロイ→Githubだったが、AIと協議して、今後はGithub→デプロイという順番で進めていく。,この失敗談→新しい順番について、Noteにまとめておいてもいいかもね。各サービスの使い方は日進月歩、すぐに変わるため陳腐化が激しいが、この開発のフローは変わることはないだろう。,本日は良い感じの１日だった。ROLGはいい狩場に出会えた気がする。ポーションは大量に必要だけど、レベル差によるドロップ率低下を気にしなくてもいい狩場だなー。
250604,2025/06/04,😊,まあまあな１日だった。,Windsurf探検記。本日はドット絵エディタを作成。昨日学んだアプリ開発→GithubへPush→Netlifyでデプロイの流れを復習した。さて、このままゲームを作ったりしてもいいが、実用性のあるものも作っていきたい。,実用性のあるものとして、listenからGoogleドキュメントへコピーするアプリを作ってみる。まずはChrome拡張にチャレンジしてみる。,Codexを試してみたが、イマイチよくわからないなー。
250605,2025/06/05,😊,トラックボールマウスをもう１台購入。でもこれって１つで複数台のPCに接続できる。。。まあ、いっか。,Windsurfお勉強。Chromeの拡張機能を作成。ただしできたものは拡張機能を使わない場合と、効率という面では大差のないようなものができた。勉強ってことでよし。,Codexはまだ使い勝手が悪いかなー。現状はWindsurfが上。やはりVisual Studio Codeがベースになってるっていうのは大いにありそう。もう少しUIとか使い勝手の向上を求める！,ClaudeCode、Proプランでも使えるけど、やはり実際に使うにはクレジットを買う必要がありそう。そこに課金してまで使い勝手を確認するか悩む。
